BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
0,0,85.41,506.73,592.14,0,0,0,0,0
0,0,85.47,506.79,592.26,0,0,0,0,0
0,0,85.5,506.77,592.27,0,0,0,0,0
0,0,85.5,506.76,592.26,0,0,0,0,0
0,0,85.56,506.72,592.28,0,0,0,0,0
0,0,85.68,506.72,592.4,0,0,0,0,0
0,0,85.8266666666667,506.76,592.586666666667,0,0,0,0,0
0,0,86.12,506.78,592.9,0,0,0,0,0
0,0,86.19,506.79,592.98,0,0,0,0,0
0,0,86.19,506.79,592.98,0,0,0,0,0
0,0,86.75,506.79,593.54,0,0,0,0,0
0,0,86.75,506.796666666667,593.546666666667,0,0,0,0,0
0,0,87.37,506.806666666667,594.176666666667,0,0,0,0,0
0,0,87.3766666666667,506.82,594.196666666667,0,0,0,0,0
0,0,87.38,506.806666666667,594.186666666667,0,0,0,0,0
0,0,87.7866666666667,506.78,594.566666666667,0,0,0,0,0
0,0,87.99,506.786666666667,594.776666666667,0,0,0,0,0
0,0,88.62,506.79,595.41,0,0,0,0,0
0,0,88.6333333333333,506.78,595.413333333333,0,0,0,0,0
0,0,88.64,506.766666666667,595.406666666667,0,0,0,0,0
0,0,89.24,506.76,596,0,0,0,0,0
0,0,89.24,506.786666666667,596.026666666667,0,0,0,0,0
0,0,89.84,506.8,596.64,0,0,0,0,0
0,0,89.8533333333333,506.73,596.583333333333,0,0,0,0,0
0,0,89.86,506.76,596.62,0,0,0,0,0
0,0,89.8733333333333,506.82,596.693333333333,0,0,0,0,0
0,0,89.88,506.8,596.68,0,0,0,0,0
0,0,90.48,506.76,597.24,0,0,0,0,0
0,0,90.4866666666667,506.71,597.196666666667,0,0,0,0,0
0,0,90.5,506.71,597.21,0,0,0,0,0
0,0,90.7033333333333,506.76,597.463333333333,0,0,0,0,0
0,0,91.11,506.76,597.87,0,0,0,0,0
0,0,91.5233333333333,506.76,598.283333333333,0,0,0,0,0
0,0,91.7333333333333,506.773333333333,598.506666666667,0,0,0,0,0
0,0,91.74,506.78,598.52,0,0,0,0,0
0,0,91.9466666666667,506.79,598.736666666667,0,0,0,0,0
0,0,92.36,506.79,599.15,0,0,0,0,0
0,0,92.4733333333333,506.71,599.183333333333,0,0,0,0,0
0,0,92.53,506.736666666667,599.266666666667,0,0,0,0,0
0,0,92.98,506.75,599.73,0,0,0,0,0
0,0,92.98,506.8,599.78,0,0,0,0,0
0,0,93.39,506.8,600.19,0,0,0,0,0
0,0,93.4633333333333,506.75,600.213333333333,0,0,0,0,0
0,0,93.61,506.77,600.38,0,0,0,0,0
0,0,93.62,506.81,600.43,0,0,0,0,0
0,0,93.62,506.783333333333,600.403333333333,0,0,0,0,0
0,0,93.71,506.77,600.48,0,0,0,0,0
0,0,93.88,506.776666666667,600.656666666667,0,0,0,0,0
0,0,94.22,506.726666666667,600.946666666667,0,0,0,0,0
0,0,94.2133333333333,506.62,600.833333333333,0,0,0,0,0
0,0,94.21,506.693333333333,600.903333333333,0,0,0,0,0
0,0,94.39,506.73,601.12,0,0,0,0,0
0,0,94.39,506.736666666667,601.126666666667,0,0,0,0,0
0,0,94.84,506.74,601.58,0,0,0,0,0
0,0,94.8466666666667,506.75,601.596666666667,0,0,0,0,0
0,0,94.85,506.763333333333,601.613333333333,0,0,0,0,0
0,0,94.86,506.77,601.63,0,0,0,0,0
0,0,94.86,506.796666666667,601.656666666667,0,0,0,0,0
